alfa,beta,po,time,distance
0.1,0.1,0.1,0.04807677268981934,257.4
0.1,0.6,0.1,0.16215639114379882,278.2
0.1,1.1,0.1,0.06103672981262207,269.0
0.1,1.6,0.1,0.10332403182983399,282.2
0.1,2.1,0.1,0.07680130004882812,253.2
0.1,2.6,0.1,0.04846954345703125,273.0
0.1,3.1,0.1,0.12087888717651367,258.6
0.1,3.6,0.1,0.16475291252136232,286.2
0.1,4.1,0.1,0.07499971389770507,283.4
0.1,4.6,0.1,0.15100231170654296,290.6
0.1,5.1,0.1,0.11330156326293946,284.0
0.1,5.6,0.1,0.06961245536804199,284.4
0.1,6.1,0.1,0.05963425636291504,285.6
0.1,6.6,0.1,0.12107625007629394,275.4
0.1,7.1,0.1,0.18131546974182128,260.6
0.1,7.6,0.1,0.0879704475402832,274.4
0.1,8.1,0.1,0.10511984825134277,267.8
0.1,8.6,0.1,0.07719335556030274,291.2
0.1,9.1,0.1,0.06441817283630372,278.8
0.1,9.6,0.1,0.08497829437255859,272.6
0.6,0.1,0.1,0.06921582221984864,269.2
0.6,0.6,0.1,0.10013132095336914,271.6
0.6,1.1,0.1,0.08098378181457519,274.6
0.6,1.6,0.1,0.1234701156616211,285.0
0.6,2.1,0.1,0.07360281944274902,267.4
0.6,2.6,0.1,0.09534521102905273,280.2
0.6,3.1,0.1,0.15438437461853027,272.2
0.6,3.6,0.1,0.1107029914855957,287.4
0.6,4.1,0.1,0.1382364273071289,279.4
0.6,4.6,0.1,0.056643009185791016,289.4
0.6,5.1,0.1,0.09634075164794922,282.0
0.6,5.6,0.1,0.1779200553894043,275.6
0.6,6.1,0.1,0.07640290260314941,265.0
0.6,6.6,0.1,0.06781153678894043,271.6
0.6,7.1,0.1,0.06722011566162109,285.2
0.6,7.6,0.1,0.12765207290649414,251.6
0.6,8.1,0.1,0.05605759620666504,283.6
0.6,8.6,0.1,0.08356871604919433,279.2
0.6,9.1,0.1,0.1105116367340088,279.6
0.6,9.6,0.1,0.04667501449584961,269.8
1.1,0.1,0.1,0.08257765769958496,275.0
1.1,0.6,0.1,0.11769218444824218,284.6
1.1,1.1,0.1,0.04906773567199707,277.2
1.1,1.6,0.1,0.021735954284667968,279.8
1.1,2.1,0.1,0.060432815551757814,273.8
1.1,2.6,0.1,0.08517975807189941,281.6
1.1,3.1,0.1,0.08537192344665527,281.6
1.1,3.6,0.1,0.07120270729064941,285.6
1.1,4.1,0.1,0.047873640060424806,281.2
